epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.9167,1.18695,3.9025,1.07084,0.00326,0.97674,0.00915,0.00485,1.23522,3.95128,0.94116,0.0002,0.0002,0.0002
2,74.3388,1.10752,2.14662,1.03629,0.00333,1,0.63512,0.30885,0.97821,3.84823,0.90443,0.000415842,0.000415842,0.000415842
3,111.809,0.97505,1.61273,0.99489,0.00333,1,0.01095,0.00642,0.90486,3.85368,0.89924,0.000627328,0.000627328,0.000627328
4,191.207,1.02524,1.53829,1.01654,0.00326,0.97674,0.0066,0.00367,0.99228,3.90497,0.91413,0.000834458,0.000834458,0.000834458
